Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Human_validation,Comment
ml17_280a_0083_part34.wav,34,2:50,0.1315,0.5523,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part36.wav,36,3:00,0.1314,0.5436,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0097_part30.wav,30,2:30,0.1313,0.5364,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part14.wav,14,1:10,0.1312,0.541,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0039_part19.wav,19,1:35,0.1311,0.4899,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part0.wav,0,0:00,0.1311,0.4953,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0056_part10.wav,10,0:50,0.1307,0.4808,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0172_part2.wav,2,0:10,0.1306,0.465,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part13.wav,13,1:05,0.1305,0.5022,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part6.wav,6,0:30,0.1304,0.5101,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part23.wav,23,1:55,0.1302,0.554,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0153_part30.wav,30,2:30,0.1302,0.5699,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part24.wav,24,2:00,0.1302,0.5239,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0076_part10.wav,10,0:50,0.1301,0.4473,⚠️ ANOMALIE,Score Isolation Forest élevé,Anomaly,
ml17_280a_0081_part42.wav,42,3:30,0.1301,0.5334,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0137_part24.wav,24,2:00,0.1297,0.4959,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0069_part65.wav,65,5:25,0.1297,0.502,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part46.wav,46,3:50,0.1296,0.5,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0164_part2.wav,2,0:10,0.1294,0.5799,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0137_part16.wav,16,1:20,0.1293,0.4848,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0172_part4.wav,4,0:20,0.129,0.5203,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
