Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,
ml19_292a_0030_part3.wav,3,15,0:15,0.101,RAS,,,ml19_292a_00300003
ml19_292a_0030_part4.wav,4,20,0:20,0.2091,RAS,,,ml19_292a_00300004
ml19_292a_0030_part5.wav,5,25,0:25,0.1333,RAS,,,ml19_292a_00300005
ml19_292a_0030_part6.wav,6,30,0:30,0.1703,RAS,,,ml19_292a_00300006
ml19_292a_0030_part7.wav,7,35,0:35,0.1016,RAS,,,ml19_292a_00300007
ml19_292a_0030_part8.wav,8,40,0:40,0.0907,RAS,,,ml19_292a_00300008
ml19_292a_0030_part9.wav,9,45,0:45,0.1242,RAS,,,ml19_292a_00300009
ml19_292a_0030_part10.wav,10,50,0:50,0.0954,RAS,,,ml19_292a_00300010
ml19_292a_0030_part11.wav,11,55,0:55,0.1444,RAS,,,ml19_292a_00300011
ml19_292a_0030_part12.wav,12,60,1:00,0.1116,RAS,,,ml19_292a_00300012
ml19_292a_0030_part13.wav,13,65,1:05,0.1283,RAS,,,ml19_292a_00300013
ml19_292a_0030_part14.wav,14,70,1:10,0.1899,RAS,,,ml19_292a_00300014
ml19_292a_0030_part15.wav,15,75,1:15,0.0813,RAS,,,ml19_292a_00300015
ml19_292a_0030_part16.wav,16,80,1:20,0.1051,RAS,,,ml19_292a_00300016
ml19_292a_0030_part17.wav,17,85,1:25,0.1273,RAS,,,ml19_292a_00300017
ml19_292a_0030_part18.wav,18,90,1:30,0.1053,RAS,,,ml19_292a_00300018
ml19_292a_0030_part19.wav,19,95,1:35,0.0912,RAS,,,ml19_292a_00300019
ml19_292a_0030_part20.wav,20,100,1:40,0.1444,RAS,,,ml19_292a_00300020
ml19_292a_0030_part21.wav,21,105,1:45,0.1813,RAS,,,ml19_292a_00300021
ml19_292a_0030_part22.wav,22,110,1:50,0.151,RAS,,,ml19_292a_00300022
ml19_292a_0030_part23.wav,23,115,1:55,0.0729,RAS,,,ml19_292a_00300023
ml19_292a_0030_part24.wav,24,120,2:00,0.108,RAS,,,ml19_292a_00300024
ml19_292a_0030_part25.wav,25,125,2:05,0.1054,RAS,,,ml19_292a_00300025
ml19_292a_0030_part26.wav,26,130,2:10,0.1381,RAS,,,ml19_292a_00300026
ml19_292a_0030_part27.wav,27,135,2:15,0.1116,RAS,,,ml19_292a_00300027
ml19_292a_0030_part28.wav,28,140,2:20,0.1079,RAS,,,ml19_292a_00300028
ml19_292a_0030_part29.wav,29,145,2:25,0.0934,RAS,,,ml19_292a_00300029
ml19_292a_0030_part30.wav,30,150,2:30,0.1187,RAS,,,ml19_292a_00300030
ml19_292a_0030_part31.wav,31,155,2:35,0.1053,RAS,,,ml19_292a_00300031
ml19_292a_0030_part32.wav,32,160,2:40,0.1196,RAS,,,ml19_292a_00300032
ml19_292a_0030_part33.wav,33,165,2:45,0.1863,RAS,,,ml19_292a_00300033
ml19_292a_0030_part34.wav,34,170,2:50,0.1178,RAS,,,ml19_292a_00300034
ml19_292a_0030_part35.wav,35,175,2:55,0.1155,RAS,,,ml19_292a_00300035
ml19_292a_0030_part36.wav,36,180,3:00,0.1036,RAS,,,ml19_292a_00300036
ml19_292a_0030_part37.wav,37,185,3:05,0.2638,ANOMALIE,,,ml19_292a_00300037
ml19_292a_0030_part38.wav,38,190,3:10,0.0963,RAS,,,ml19_292a_00300038
ml19_292a_0030_part39.wav,39,195,3:15,0.1717,RAS,,,ml19_292a_00300039
ml19_292a_0030_part40.wav,40,200,3:20,0.1114,RAS,,,ml19_292a_00300040
ml19_292a_0030_part41.wav,41,205,3:25,0.1169,RAS,,,ml19_292a_00300041
ml19_292a_0030_part42.wav,42,210,3:30,0.0856,RAS,,,ml19_292a_00300042
ml19_292a_0030_part43.wav,43,215,3:35,0.1796,RAS,,,ml19_292a_00300043
ml19_292a_0030_part44.wav,44,220,3:40,0.1606,RAS,,,ml19_292a_00300044
ml19_292a_0030_part45.wav,45,225,3:45,0.1041,RAS,,,ml19_292a_00300045
ml19_292a_0030_part46.wav,46,230,3:50,0.3115,ANOMALIE,,,ml19_292a_00300046
ml19_292a_0030_part47.wav,47,235,3:55,0.1088,RAS,,,ml19_292a_00300047
ml19_292a_0030_part48.wav,48,240,4:00,0.101,RAS,,,ml19_292a_00300048
ml19_292a_0030_part49.wav,49,245,4:05,0.17,RAS,,,ml19_292a_00300049
ml19_292a_0030_part50.wav,50,250,4:10,0.1128,RAS,,,ml19_292a_00300050
ml19_292a_0030_part51.wav,51,255,4:15,0.1342,RAS,,,ml19_292a_00300051
ml19_292a_0030_part52.wav,52,260,4:20,0.2084,RAS,,,ml19_292a_00300052
ml19_292a_0030_part53.wav,53,265,4:25,0.0854,RAS,,,ml19_292a_00300053
ml19_292a_0030_part54.wav,54,270,4:30,0.1258,RAS,,,ml19_292a_00300054
ml19_292a_0030_part55.wav,55,275,4:35,0.1427,RAS,,,ml19_292a_00300055
ml19_292a_0030_part56.wav,56,280,4:40,0.0935,RAS,,,ml19_292a_00300056
ml19_292a_0030_part57.wav,57,285,4:45,0.1033,RAS,,,ml19_292a_00300057
ml19_292a_0030_part58.wav,58,290,4:50,0.1207,RAS,,,ml19_292a_00300058
ml19_292a_0030_part59.wav,59,295,4:55,0.1056,RAS,,,ml19_292a_00300059
ml19_292a_0030_part60.wav,60,300,5:00,0.124,RAS,,,ml19_292a_00300060
ml19_292a_0030_part61.wav,61,305,5:05,0.4573,ANOMALIE,,,ml19_292a_00300061
ml19_292a_0030_part62.wav,62,310,5:10,0.2026,RAS,,,ml19_292a_00300062
ml19_292a_0030_part63.wav,63,315,5:15,0.2325,RAS,,,ml19_292a_00300063
ml19_292a_0030_part64.wav,64,320,5:20,0.1216,RAS,,,ml19_292a_00300064
ml19_292a_0030_part65.wav,65,325,5:25,0.114,RAS,,,ml19_292a_00300065
ml19_292a_0030_part66.wav,66,330,5:30,0.0823,RAS,,,ml19_292a_00300066
ml19_292a_0030_part67.wav,67,335,5:35,0.1489,RAS,,,ml19_292a_00300067
ml19_292a_0030_part68.wav,68,340,5:40,0.3308,ANOMALIE,,,ml19_292a_00300068
ml19_292a_0030_part69.wav,69,345,5:45,0.1916,RAS,,,ml19_292a_00300069
ml19_292a_0030_part70.wav,70,350,5:50,0.1487,RAS,,,ml19_292a_00300070
