Source Audio,Part,Start(sec),Start (min:sec),Distance,Status,Human_validation,Comment
ml17_280a_0153_part37.wav,37,185,3:05,0.4908,Anomaly,To_validate,
ml17_280a_0173_part2.wav,2,10,0:10,0.4906,Anomaly,To_validate,
ml17_280a_0169_part15.wav,15,75,1:15,0.4906,Anomaly,To_validate,
ml17_280a_0095_part26.wav,26,130,2:10,0.4905,Anomaly,To_validate,
ml17_280a_0137_part37.wav,37,185,3:05,0.4899,Anomaly,To_validate,
ml17_280a_0081_part0.wav,0,0,0:00,0.4893,Anomaly,To_validate,
ml17_280a_0095_part63.wav,63,315,5:15,0.4891,Anomaly,To_validate,
ml17_280a_0107_part7.wav,7,35,0:35,0.489,Anomaly,To_validate,
ml17_280a_0096_part23.wav,23,115,1:55,0.4889,Anomaly,To_validate,
ml17_280a_0099_part36.wav,36,180,3:00,0.4888,Anomaly,To_validate,
ml17_280a_0070_part9.wav,9,45,0:45,0.4885,Anomaly,To_validate,
ml17_280a_0006_part61.wav,61,305,5:05,0.4885,Anomaly,To_validate,
ml17_280a_0137_part0.wav,0,0,0:00,0.4882,Anomaly,To_validate,
ml17_280a_0081_part17.wav,17,85,1:25,0.4878,Anomaly,To_validate,
ml17_280a_0084_part64.wav,64,320,5:20,0.4876,Anomaly,To_validate,
ml17_280a_0082_part31.wav,31,155,2:35,0.4875,Anomaly,To_validate,
ml17_280a_0164_part3.wav,3,15,0:15,0.4872,Anomaly,To_validate,
ml17_280a_0082_part40.wav,40,200,3:20,0.4861,Anomaly,To_validate,
ml17_280a_0171_part5.wav,5,25,0:25,0.486,Anomaly,To_validate,
ml17_280a_0081_part46.wav,46,230,3:50,0.4854,Anomaly,To_validate,
ml17_280a_0099_part34.wav,34,170,2:50,0.4852,Anomaly,To_validate,
ml17_280a_0099_part22.wav,22,110,1:50,0.485,Anomaly,To_validate,
ml17_280a_0043_part10.wav,10,50,0:50,0.4848,Anomaly,To_validate,
ml17_280a_0081_part36.wav,36,180,3:00,0.4844,Anomaly,To_validate,
ml17_280a_0152_part12.wav,12,60,1:00,0.4844,Anomaly,To_validate,
ml17_280a_0037_part31.wav,31,155,2:35,0.4835,Anomaly,To_validate,
ml17_280a_0138_part8.wav,8,40,0:40,0.483,Anomaly,To_validate,
ml17_280a_0082_part44.wav,44,220,3:40,0.483,Anomaly,To_validate,
ml17_280a_0098_part25.wav,25,125,2:05,0.4823,Anomaly,To_validate,
ml17_280a_0139_part35.wav,35,175,2:55,0.4813,Anomaly,To_validate,
ml17_280a_0082_part60.wav,60,300,5:00,0.4812,Anomaly,To_validate,
ml17_280a_0076_part6.wav,6,30,0:30,0.4811,Anomaly,To_validate,
ml17_280a_0082_part39.wav,39,195,3:15,0.4809,Anomaly,To_validate,
ml17_280a_0096_part18.wav,18,90,1:30,0.4808,Anomaly,To_validate,
ml17_280a_0099_part58.wav,58,290,4:50,0.4808,Anomaly,To_validate,
ml17_280a_0169_part18.wav,18,90,1:30,0.4807,Anomaly,To_validate,
ml17_280a_0082_part12.wav,12,60,1:00,0.4805,Anomaly,To_validate,
ml17_280a_0098_part51.wav,51,255,4:15,0.4803,Anomaly,To_validate,
ml17_280a_0006_part35.wav,35,175,2:55,0.4801,Anomaly,To_validate,
ml17_280a_0015_part12.wav,12,60,1:00,0.48,Anomaly,To_validate,
ml17_280a_0139_part33.wav,33,165,2:45,0.4795,Anomaly,To_validate,
