Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Validation_Humaine
ml19_292b_0026_part77.wav,77,6:25,0.2067,0.2195,RAS,,A_VALIDER
ml19_293a_0015_part135.wav,135,11:15,0.2064,0.2297,RAS,,A_VALIDER
ml19_293a_0015_part70.wav,70,5:50,0.2063,0.2271,RAS,,A_VALIDER
ml18_294b_0013_part63.wav,63,5:15,0.2062,0.2313,RAS,,A_VALIDER
ml19_292a_0007_part22.wav,22,1:50,0.2062,0.234,RAS,,A_VALIDER
ml19_292b_0026_part11.wav,11,0:55,0.206,0.216,RAS,,A_VALIDER
ml19_292a_0030_part52.wav,52,4:20,0.2057,0.2302,RAS,,A_VALIDER
ml19_292b_0026_part98.wav,98,8:10,0.2054,0.2161,RAS,,A_VALIDER
ml19_292b_0026_part66.wav,66,5:30,0.2045,0.2091,RAS,,A_VALIDER
ml18_294b_0013_part4.wav,4,0:20,0.2042,0.2346,RAS,,A_VALIDER
ml19_292b_0026_part18.wav,18,1:30,0.2042,0.2135,RAS,,A_VALIDER
ml19_292b_0026_part52.wav,52,4:20,0.2041,0.2216,RAS,,A_VALIDER
ml19_292a_0030_part4.wav,4,0:20,0.2039,0.2298,RAS,,A_VALIDER
ml19_293a_0015_part33.wav,33,2:45,0.2038,0.2241,RAS,,A_VALIDER
ml18_294b_0013_part32.wav,32,2:40,0.2036,0.2329,RAS,,A_VALIDER
ml19_293a_0015_part67.wav,67,5:35,0.2036,0.225,RAS,,A_VALIDER
ml17_280a_0144_part151.wav,151,12:35,0.2034,0.2141,RAS,,A_VALIDER
ml17_280a_0144_part86.wav,86,7:10,0.2033,0.2119,RAS,,A_VALIDER
ml19_293a_0015_part132.wav,132,11:00,0.2033,0.2195,RAS,,A_VALIDER
ml17_280a_0088_part158.wav,158,13:10,0.2026,0.2202,RAS,,A_VALIDER
ml18_294b_0013_part75.wav,75,6:15,0.2022,0.2194,RAS,,A_VALIDER
ml17_280a_0083_part67.wav,67,5:35,0.2022,0.1902,RAS,,A_VALIDER
ml19_293a_0066_part25.wav,25,2:05,0.202,0.2254,RAS,,A_VALIDER
ml19_292b_0026_part4.wav,4,0:20,0.2012,0.2036,RAS,,A_VALIDER
ml19_292b_0026_part143.wav,143,11:55,0.2011,0.2128,RAS,,A_VALIDER
ml19_292a_0030_part62.wav,62,5:10,0.201,0.2192,RAS,,A_VALIDER
ml17_280a_0088_part33.wav,33,2:45,0.2003,0.2337,RAS,,A_VALIDER
ml19_293a_0015_part128.wav,128,10:40,0.2002,0.2235,RAS,,A_VALIDER
ml19_292b_0026_part116.wav,116,9:40,0.2002,0.2056,RAS,,A_VALIDER
ml19_292b_0026_part73.wav,73,6:05,0.2002,0.2129,RAS,,A_VALIDER
ml17_280a_0144_part103.wav,103,8:35,0.1998,0.215,RAS,,A_VALIDER
ml18_294b_0042_part36.wav,36,3:00,0.1996,0.2228,RAS,,A_VALIDER
ml19_293a_0066_part38.wav,38,3:10,0.1995,0.216,RAS,,A_VALIDER
ml19_292a_0007_part2.wav,2,0:10,0.1993,0.2269,RAS,,A_VALIDER
ml18_294b_0013_part3.wav,3,0:15,0.1992,0.2244,RAS,,A_VALIDER
ml18_294b_0076_part17.wav,17,1:25,0.1989,0.2176,RAS,,A_VALIDER
ml17_280a_0144_part110.wav,110,9:10,0.1987,0.2051,RAS,,A_VALIDER
ml17_280a_0083_part68.wav,68,5:40,0.1984,0.1871,RAS,,A_VALIDER
ml19_292b_0026_part74.wav,74,6:10,0.1983,0.2097,RAS,,A_VALIDER
ml17_280a_0144_part80.wav,80,6:40,0.1981,0.2089,RAS,,A_VALIDER
ml19_293a_0015_part123.wav,123,10:15,0.198,0.2164,RAS,,A_VALIDER
ml19_292a_0007_part20.wav,20,1:40,0.1975,0.2242,RAS,,A_VALIDER
ml19_292a_0007_part38.wav,38,3:10,0.1973,0.2232,RAS,,A_VALIDER
ml17_280a_0144_part75.wav,75,6:15,0.1968,0.2076,RAS,,A_VALIDER
ml18_294b_0013_part47.wav,47,3:55,0.1965,0.2181,RAS,,A_VALIDER
