Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml17_280a_0144_part75.wav,75,375,6:15,0.1969,RAS
ml18_294b_0013_part47.wav,47,235,3:55,0.1969,RAS
ml17_280a_0144_part84.wav,84,420,7:00,0.1968,RAS
ml19_293a_0066_part20.wav,20,100,1:40,0.1967,RAS
ml19_294a_0011_part16.wav,16,80,1:20,0.1961,RAS
ml19_294a_0011_part40.wav,40,200,3:20,0.1957,RAS
ml19_293a_0015_part48.wav,48,240,4:00,0.1955,RAS
ml18_296a_0007_part4.wav,4,20,0:20,0.1954,RAS
ml19_292b_0026_part37.wav,37,185,3:05,0.1953,RAS
ml19_292b_0026_part124.wav,124,620,10:20,0.1949,RAS
ml19_294a_0011_part51.wav,51,255,4:15,0.1948,RAS
ml17_280a_0083_part65.wav,65,325,5:25,0.1947,RAS
ml19_292b_0026_part69.wav,69,345,5:45,0.1944,RAS
ml19_292a_0007_part7.wav,7,35,0:35,0.1944,RAS
ml18_294b_0013_part92.wav,92,460,7:40,0.1941,RAS
ml18_294b_0013_part43.wav,43,215,3:35,0.1934,RAS
ml19_292b_0026_part12.wav,12,60,1:00,0.1933,RAS
ml19_294a_0011_part2.wav,2,10,0:10,0.1932,RAS
ml18_294b_0076_part53.wav,53,265,4:25,0.1932,RAS
ml19_292b_0026_part68.wav,68,340,5:40,0.193,RAS
ml19_292a_0007_part34.wav,34,170,2:50,0.193,RAS
ml18_294b_0013_part38.wav,38,190,3:10,0.1922,RAS
ml18_294b_0013_part81.wav,81,405,6:45,0.1922,RAS
ml19_293a_0066_part32.wav,32,160,2:40,0.1919,RAS
ml19_294a_0011_part10.wav,10,50,0:50,0.1918,RAS
ml18_294b_0076_part23.wav,23,115,1:55,0.1918,RAS
ml19_292b_0026_part13.wav,13,65,1:05,0.1914,RAS
ml19_292b_0026_part111.wav,111,555,9:15,0.1912,RAS
ml19_293a_0066_part43.wav,43,215,3:35,0.191,RAS
ml17_280a_0144_part145.wav,145,725,12:05,0.1908,RAS
ml18_294b_0013_part82.wav,82,410,6:50,0.1906,RAS
ml19_292a_0007_part30.wav,30,150,2:30,0.1906,RAS
ml18_296a_0007_part22.wav,22,110,1:50,0.1906,RAS
ml19_292b_0026_part70.wav,70,350,5:50,0.1905,RAS
ml19_294a_0011_part56.wav,56,280,4:40,0.1903,RAS
ml17_280a_0144_part106.wav,106,530,8:50,0.1903,RAS
ml18_294b_0076_part69.wav,69,345,5:45,0.1901,RAS
ml19_294a_0011_part12.wav,12,60,1:00,0.1894,RAS
ml19_292a_0007_part1.wav,1,5,0:05,0.1892,RAS
ml19_292a_0030_part69.wav,69,345,5:45,0.1891,RAS
ml19_293a_0066_part17.wav,17,85,1:25,0.1887,RAS
ml17_280a_0088_part142.wav,142,710,11:50,0.1884,RAS
ml19_294a_0011_part27.wav,27,135,2:15,0.1881,RAS
ml17_280a_0088_part165.wav,165,825,13:45,0.188,RAS
ml19_292b_0026_part41.wav,41,205,3:25,0.1879,RAS
ml17_280a_0088_part128.wav,128,640,10:40,0.1877,RAS
ml17_280a_0144_part114.wav,114,570,9:30,0.1876,RAS
ml19_292b_0026_part118.wav,118,590,9:50,0.1876,RAS
ml17_280a_0144_part14.wav,14,70,1:10,0.1871,RAS
ml19_294a_0011_part8.wav,8,40,0:40,0.1869,RAS
ml19_293a_0066_part62.wav,62,310,5:10,0.1868,RAS
ml19_293a_0015_part141.wav,141,705,11:45,0.1868,RAS
ml19_292a_0030_part14.wav,14,70,1:10,0.1862,RAS
ml17_280a_0083_part5.wav,5,25,0:25,0.1861,RAS
ml19_292b_0026_part81.wav,81,405,6:45,0.1857,RAS
ml18_294b_0013_part11.wav,11,55,0:55,0.1852,RAS
ml17_280a_0144_part136.wav,136,680,11:20,0.185,RAS
ml19_294a_0011_part32.wav,32,160,2:40,0.1849,RAS
ml19_292b_0026_part32.wav,32,160,2:40,0.1845,RAS
ml18_294b_0013_part49.wav,49,245,4:05,0.1845,RAS
ml19_292b_0026_part72.wav,72,360,6:00,0.1844,RAS
ml19_292b_0026_part104.wav,104,520,8:40,0.1842,RAS
ml19_292a_0030_part91.wav,91,455,7:35,0.1841,RAS
ml17_280a_0144_part10.wav,10,50,0:50,0.1839,RAS
ml19_294a_0011_part5.wav,5,25,0:25,0.1835,RAS
ml19_292b_0026_part29.wav,29,145,2:25,0.1835,RAS
ml18_294b_0013_part80.wav,80,400,6:40,0.1834,RAS
ml19_292a_0030_part33.wav,33,165,2:45,0.1833,RAS
